original_firstorder_10Percentile,original_firstorder_90Percentile,original_firstorder_Energy,original_firstorder_Entropy,original_firstorder_InterquartileRange,original_firstorder_Kurtosis,original_firstorder_Maximum,original_firstorder_MeanAbsoluteDeviation,original_firstorder_Mean,original_firstorder_Median,original_firstorder_Minimum,original_firstorder_Range,original_firstorder_RobustMeanAbsoluteDeviation,original_firstorder_RootMeanSquared,original_firstorder_Skewness,original_firstorder_TotalEnergy,original_firstorder_Uniformity,original_firstorder_Variance,Label
-5,66,107208646,2.281727984,33,5.405520027,182,22.55072141,26.664604,23,-363,545,14.37755474,40.32368316,0.542430781,91432357.7,0.26121838,914.9983173,Benign
14,48,20373223,1.363892146,18,4.584047902,119,10.87522678,31.5592314,31,-29,148,7.444861596,34.59996104,0.439739565,11949531.95,0.46368553,201.1722173,Benign
-21,76,63794607,2.818970816,40,18.76869263,256,34.53093968,26.4474075,33,-620,876,17.69423384,62.8267265,-2.634315442,55465902.08,0.203632726,3247.732199,Benign
11,46,28756931,1.490265576,17,7.182670547,131,11.39143833,27.82310238,27,-82,213,7.390845274,31.98971568,-0.24702528,25424038.64,0.423808787,249.2168835,Benign
9,53,14142002,1.635290885,22,4.133371478,124,13.86080017,27.93384303,25,-62,186,9.370159491,33.21584564,0.685934915,12502961.65,0.377247949,322.9928147,Benign
4,55,13016770,1.881665488,26,5.03771142,114,16.44605382,28.77196819,28,-90,204,11.15025404,35.97100942,-0.288963119,11508142.63,0.328905671,466.0873653,Benign
24,66,50154140,1.596309624,21,4.25901459,140,12.9872637,44.97667786,44,-68,208,9.009123482,48.03232539,0.402429503,29416970.43,0.39627878,284.2027313,Benign
1,63,17107720,2.149218924,31,14.05072342,155,20.17330355,29.78728822,28,-290,445,13.00013287,40.93190229,-0.971174109,10962969.13,0.281178993,788.1380854,Benign
14,60,22459768,1.743506442,21,5.319379895,187,14.53964687,37.09288927,37,-122,309,9.115261004,42.10146299,0.276636498,13173355.8,0.388303633,396.6507513,Benign
10,54,29927850,1.656799388,22,4.176753228,131,13.8428788,32.21158392,32,-80,211,9.479854187,36.88636877,0.144280888,26459249.59,0.380951209,323.0180618,Benign
-7,43,22308606,1.785448495,26,3.736256066,134,15.5000551,17.01295131,16,-70,204,10.88616705,26.10418535,0.235370771,13084694.56,0.348246478,391.9879806,Benign
10,57,22039057,1.785410678,23,5.056480053,128,15.02829242,32.38072879,32,-82,210,9.818210151,38.17739113,-0.046366735,17236774.03,0.360720735,409.0015967,Benign
-1,29,8490932,1.195272741,15,5.575977292,72,9.561227599,13.48545201,13,-90,162,6.538668512,18.40901188,-0.186191597,7506843.595,0.554587625,157.0343024,Benign
23,54,56132598,1.221590285,17,3.147203069,87,9.739800617,38.41950061,39,-25,112,6.944562514,40.32362781,-0.095547394,49626900.06,0.5245535,149.9369327,Benign
13,56,34001518,1.64939442,23,4.395663923,136,13.7629787,34.07850792,34,-71,207,9.591805188,38.40312713,-0.187827965,30060784.57,0.383023623,313.4554717,Benign
-26,41,30586089,2.189701382,33,4.508164709,111,20.99905577,8.355504024,11,-137,248,14.05923191,28.88652912,-0.678793618,27041199.52,0.269924068,764.6171171,Benign
1,70,62979608,2.265066328,35,58.93285068,662,22.42649123,38.09287284,39,-100,762,14.7514711,51.09993266,3.948657563,55680350.16,0.255952297,1160.136157,Benign
10,52,16102389,1.601679738,22,3.81299036,104,13.27237342,30.0056835,29,-67,171,9.205692877,34.47526102,0.220613468,9444554.348,0.384562289,288.2025806,Benign
20,57,15393799,1.452539933,19,3.933356294,105,11.78026571,38.42132712,38,-24,129,8.048588134,41.32970584,0.48245256,13609676.94,0.449614106,231.9462074,Benign
11,61,17232558,1.876810754,27,9.611550868,319,16.44028545,33.73252739,32,-98,417,11.02535466,40.34297379,0.486731905,13993612.56,0.329074913,489.6721305,Benign
3,51,45515589,1.843547278,24,7.252719723,228,15.77002516,28.30091584,29,-111,339,10.20569805,35.64951854,-0.050676806,33645180.28,0.35379607,469.9463347,Benign
-24,57,23659359,2.398894754,38,9.03397395,192,25.40722302,22.16806067,29,-338,530,16.41098596,40.95140076,-1.276322782,13876953.41,0.247371858,1185.59431,Benign
4,61,25433730,2.0121535,28,6.474871927,240,18.00753969,32.03082949,31,-85,325,12.02499716,40.0846678,0.477180374,21691029.46,0.305911474,580.8065548,Benign
-10,46,9080786,2.008979604,28,4.255634726,133,17.97373025,16.94631873,15,-101,234,11.97138393,29.09121497,0.40110223,7138053.994,0.305619315,559.1210699,Benign
-42,60,27788888,2.762108088,42,9.290710577,314,32.38104958,12.04915843,18,-312,626,18.60456284,49.74678781,-1.501860119,21405259.38,0.201139569,2329.560679,Benign
