model,k,accuracy,fmeasure,precision,recall,roc

rf,1,0.9791666666666667,0.9792170400458362,0.9809595959595958,0.9791666666666667,0.9882142857142856
rf,2,0.9875,0.9875661375661376,0.9886363636363636,0.9875,0.9992857142857143
rf,3,0.9916666666666668,0.991710758377425,0.9924242424242424,0.9916666666666668,0.9982142857142857
rf,4,0.9916666666666668,0.991710758377425,0.9924242424242424,0.9916666666666668,0.9964285714285716
rf,5,0.9916666666666668,0.991710758377425,0.9924242424242424,0.9916666666666668,0.9960714285714285
rf,6,0.9791666666666667,0.9792170400458362,0.9809595959595958,0.9791666666666667,0.9985714285714286
rf,7,0.975,0.9748573256861217,0.9780871212121214,0.975,0.9996428571428572
rf,8,0.9875000000000002,0.987506281668411,0.9885353535353534,0.9875000000000002,0.9996428571428572
rf,9,0.9835,0.9835395738847919,0.9855176767676769,0.9835,0.9953571428571429
rf,10,0.9958333333333333,0.9958553791887125,0.9962121212121211,0.9958333333333333,0.9960714285714285
rf,11,0.9833333333333334,0.9833616608571237,0.9847474747474747,0.9833333333333334,0.9949999999999999
rf,12,0.9791666666666667,0.9792312233933528,0.9815909090909092,0.9791666666666667,0.9949999999999999
rf,13,0.9875,0.9875661375661376,0.9886363636363636,0.9875,1.0
rf,14,0.9791666666666667,0.979216119871003,0.9827078477078477,0.9791666666666667,0.9989285714285714
rf,15,0.9833333333333334,0.9834357001023667,0.9854797979797981,0.9833333333333334,0.9992857142857143
rf,16,0.9833333333333334,0.9833616608571237,0.9847474747474747,0.9833333333333334,0.9992857142857143
rf,17,0.9875000000000002,0.987506281668411,0.9885353535353534,0.9875000000000002,0.9992857142857143
rf,18,0.9958333333333333,0.9958553791887125,0.9962121212121211,0.9958333333333333,0.9989285714285714
rf,19,0.9875,0.9875661375661376,0.9886363636363636,0.9875,0.9992857142857143
rf,20,0.9833333333333334,0.9833758442046403,0.9853787878787879,0.9833333333333334,0.9985714285714286
rf,21,0.9916666666666668,0.9916509024796987,0.9923232323232323,0.9916666666666668,1.0
rf,22,0.9875000000000002,0.987506281668411,0.9885353535353534,0.9875000000000002,0.9946428571428572
rf,23,0.9916666666666668,0.9916509024796986,0.9923232323232322,0.9916666666666668,0.9953571428571429
rf,24,0.9833333333333334,0.9833616608571237,0.9847474747474747,0.9833333333333334,0.9989285714285714
rf,25,0.9791666666666667,0.9792910792910794,0.9816919191919192,0.9791666666666667,0.9992857142857143
rf,26,0.9916666666666668,0.991710758377425,0.9924242424242424,0.9916666666666668,0.9957142857142858
rf,27,0.9958333333333333,0.9958553791887125,0.9962121212121211,0.9958333333333333,0.9989285714285714
rf,28,0.9833333333333334,0.9833616608571237,0.9847474747474747,0.9833333333333334,0.9949999999999999
