original_firstorder_10Percentile,original_firstorder_90Percentile,original_firstorder_Energy,original_firstorder_Entropy,original_firstorder_InterquartileRange,original_firstorder_Kurtosis,original_firstorder_Maximum,original_firstorder_MeanAbsoluteDeviation,original_firstorder_Mean,original_firstorder_Median,original_firstorder_Minimum,original_firstorder_Range,original_firstorder_RobustMeanAbsoluteDeviation,original_firstorder_RootMeanSquared,original_firstorder_Skewness,original_firstorder_TotalEnergy,original_firstorder_Uniformity,original_firstorder_Variance,Label
43,105,154128182,2.072019305,34,3.077820719,179,19.58409905,74.72744768,75,-32,211,14.07228697,78.60956453,-0.2054240635,131447449.4,0.275887841,595.2721991,1
28,109,35793124,2.30729123,54,1.902502013,152,27.06076768,69.58177987,70,-8,160,21.81321449,76.17148411,0.00401017458,30525986.84,0.2187758111,960.4709016,6
14,84,60759931,2.210042738,37,2.879566485,136,21.87281172,49.11505571,50,-61,197,15.76140869,56.1159403,-0.1637043626,53717930.95,0.2482891154,736.7100584,1
36.4,80,655898,1.611920676,23.75,2.632712466,92,13.37785633,58.37078652,59,13,79,9.547948555,60.70272008,-0.1937734307,579880.2417,0.3745107941,277.6715061,2
33,92,359966100,2.001584654,32,275.0746779,148,21.17982697,61.90152724,66,-962,1110,13.25133898,82.69064151,-15.0308107,318246479,0.2907229095,3005.943118,4
41,107,57779176,2.180632513,33,3.915022729,179,20.69840855,72.67823016,72,-53,232,14.13731358,77.46715937,-0.1578113256,51082641.73,0.2665065876,719.0356416,6
30,87,878094340,1.951423996,29,3.585421582,228,17.8056783,57.04602242,56,-130,358,12.57888976,61.33561444,0.05897821335,588130027,0.3048608312,507.8089253,1
47,99,5762579,1.821648949,29,2.828463233,141,16.35880306,73.3839196,74,20,121,11.99969214,76.10214638,0.146544419,3859660.163,0.3255039014,406.3370279,6
40,98,183729590,2.063502381,29,7.169044422,332,18.99486125,69.77272178,72,-76,408,12.24958082,74.5078101,-0.8476954323,115121286.5,0.2994346524,683.1810616,1
66,111,42916039,1.698938654,22,4.194685563,169,14.13296609,88.95017314,89,6,163,9.531618652,90.86396375,-0.09364343994,26890331.72,0.3809420144,344.1266054,6
33,85,67459745,1.863602512,27,3.476285258,156,16.33636336,58.66097407,59,-35,191,11.23626685,62.28164433,0.07028480941,59641244.88,0.3282693102,437.8933416,1
33,87,16206837,1.878670464,31,2.742060447,129,17.2741836,59.94637067,60,-11,140,12.58145054,63.58154897,0.05865574762,14328484.85,0.3083046309,449.0460139,3
47,114,16406585,2.159381511,31,5.303407554,150,21.38511033,84.35575992,90,-43,193,13.55941987,89.11358959,-1.25202802,14505082.31,0.2789828215,825.3376169,6
138.7,250.9,465660,2.688721876,68.25,1.765547474,254,36.5,192.3333333,193.5,123,131,24,196.9898475,-0.02050276094,411690.5881,0.1666666667,1812.888889,7
28,89,176302471,2.00944849,33,3.124640729,213,18.98863561,57.0045734,55,-20,233,13.84177235,61.67098812,0.3766757778,155869235,0.2871002463,553.7893869,1
