model,fs_method,k,accuracy,fmeasure,precision,recall,roc
lr,nofs,13,0.8251412429378533,0.8161670247704624,0.8524988766026942,0.8251412429378533,0.9090277777777779
nb,nofs,13,0.7879661016949152,0.7682673009025651,0.8278997955679632,0.7879661016949152,0.8739500661375661
knn,nofs,13,0.7981355932203389,0.7965120882453391,0.8049161546338965,0.7981355932203389,0.8427331349206348
rf,nofs,13,0.7477401129943503,0.7185046680835411,0.8132883138771,0.7477401129943503,0.8578000992063493
dt,nofs,13,0.6602824858757063,0.6091190646063193,0.7404596472197952,0.6602824858757063,0.6604166666666667
gb,nofs,13,0.6705649717514124,0.6195410038237038,0.7417327335104666,0.6705649717514124,0.8171378968253968
ab,nofs,13,0.7577401129943503,0.7364809928525082,0.8033264924081699,0.7577401129943503,0.8557705026455027
svc,nofs,13,0.8184745762711862,0.8079048032014722,0.8479704825481263,0.8184745762711862,0.9128224206349207
ri,nofs,13,0.8150282485875706,0.8045133777216241,0.8451758201094176,0.8150282485875706,0.9080274470899472
xgb,nofs,13,0.6970621468926554,0.6484434355097497,0.7518231243941921,0.6970621468926554,0.8387814153439154
lr,em,1,0.7580790960451977,0.7550172653831975,0.7633146029116145,0.7580790960451977,0.7679935515873018
nb,em,1,0.7445197740112994,0.7400893557251533,0.7497298067557966,0.7445197740112994,0.7679935515873018
knn,em,1,0.7212994350282486,0.6958943902836674,0.7234572061925447,0.7212994350282486,0.7257399140211641
rf,em,1,0.7647457627118645,0.7635260365285884,0.7674419545081863,0.7647457627118645,0.7679935515873018
dt,em,1,0.7647457627118645,0.7635260365285884,0.7674419545081863,0.7647457627118645,0.7679935515873018
gb,em,1,0.7647457627118645,0.7635260365285884,0.7674419545081863,0.7647457627118645,0.7679935515873018
ab,em,1,0.7647457627118645,0.7635260365285884,0.7674419545081863,0.7647457627118645,0.7679935515873018
svc,em,1,0.7647457627118645,0.7635260365285884,0.7674419545081863,0.7647457627118645,0.7679935515873018
ri,em,1,0.7512994350282487,0.7478786811359394,0.757402869512777,0.7512994350282487,0.7679935515873018
xgb,em,1,0.7647457627118645,0.7635260365285884,0.7674419545081863,0.7647457627118645,0.7679935515873018
lr,em,2,0.7847457627118644,0.7844260239093874,0.7891980975889415,0.7847457627118644,0.8530505952380951
nb,em,2,0.791412429378531,0.7913424480807135,0.7952748530774617,0.791412429378531,0.842609126984127
knn,em,2,0.7479096045197741,0.726128875536401,0.7929932128196208,0.7479096045197741,0.8363012566137564
rf,em,2,0.747457627118644,0.7360618377642602,0.7685837777217518,0.747457627118644,0.8451388888888889
dt,em,2,0.7341242937853107,0.7216090138996716,0.7571763703143444,0.7341242937853107,0.845023148148148
gb,em,2,0.747457627118644,0.7360618377642602,0.7685837777217518,0.747457627118644,0.8439814814814814
ab,em,2,0.771412429378531,0.7704322121158242,0.7777632612121547,0.771412429378531,0.8433697089947089
svc,em,2,0.771412429378531,0.7698653728402205,0.7755550979959419,0.771412429378531,0.8490327380952379
ri,em,2,0.7847457627118644,0.7844260239093874,0.7891980975889415,0.7847457627118644,0.8530505952380951
xgb,em,2,0.7375141242937853,0.7249656497333465,0.7611346559532166,0.7375141242937853,0.8414021164021163
lr,em,3,0.7882485875706214,0.7737104480248125,0.8269716593576014,0.7882485875706214,0.9015997023809523
nb,em,3,0.7782485875706214,0.749382096032577,0.8292418383742077,0.7782485875706214,0.88515625
knn,em,3,0.6970056497175141,0.6405022003948323,0.6931097010816807,0.6970056497175141,0.8347966269841269
rf,em,3,0.7138418079096046,0.6615718578396385,0.7628149633857941,0.7138418079096046,0.8446304563492063
dt,em,3,0.7105084745762713,0.657664327359338,0.7629456823400425,0.7105084745762713,0.839310515873016
gb,em,3,0.7237853107344633,0.6807548917318191,0.7683221092941005,0.7237853107344633,0.8271412037037036
ab,em,3,0.7170621468926555,0.6577881427604815,0.7123742934184222,0.7170621468926555,0.9014880952380953
svc,em,3,0.7815819209039547,0.7667940238534864,0.8208949038690811,0.7815819209039547,0.8961929563492064
ri,em,3,0.791638418079096,0.7770008760475189,0.83291166908487,0.791638418079096,0.9031787367724867
xgb,em,3,0.7205084745762712,0.6748853971913475,0.7648448969768339,0.7205084745762712,0.8384837962962962
lr,em,4,0.7983050847457627,0.7858546393723205,0.8314137520095853,0.7983050847457627,0.9039930555555558
nb,em,4,0.778135593220339,0.749160342188,0.8306662977176437,0.778135593220339,0.8932291666666667
knn,em,4,0.7169491525423729,0.6677388588418365,0.7064406803199119,0.7169491525423729,0.80984623015873
rf,em,4,0.7341242937853106,0.6962099130981944,0.8035635603589473,0.7341242937853106,0.7970692791005292
dt,em,4,0.6868926553672317,0.6410064599442251,0.7403901042414202,0.6868926553672317,0.6922164351851852
gb,em,4,0.6934463276836158,0.6341817087750695,0.6882554588447023,0.6934463276836158,0.7975570436507937
ab,em,4,0.7542372881355932,0.7231743238273411,0.8307656730064645,0.7542372881355932,0.8770957341269842
svc,em,4,0.7849717514124294,0.7703596112707474,0.8205500105705056,0.7849717514124294,0.9008763227513228
ri,em,4,0.8017514124293786,0.7851019317140494,0.840434003729665,0.8017514124293786,0.9052992724867727
xgb,em,4,0.7038418079096045,0.6517371824291067,0.8020509580045353,0.7038418079096045,0.7972635582010581
lr,em,5,0.8116384180790959,0.7990854800888056,0.8468161234197001,0.8116384180790959,0.9018270502645503
nb,em,5,0.7881355932203389,0.7591316572795807,0.8400271388477604,0.7881355932203389,0.8913938492063492
knn,em,5,0.7643502824858757,0.7517852618997501,0.7982240030492872,0.7643502824858757,0.8163938492063492
rf,em,5,0.7272316384180791,0.6925031448096803,0.7804217632155385,0.7272316384180791,0.8313657407407409
dt,em,5,0.703728813559322,0.6659114289768121,0.7596653873328898,0.703728813559322,0.7029431216931217
