model,fs_method,k,accuracy
nb,nofs,18,0.35508021390374334
rf,nofs,18,0.6096256684491979
knn,nofs,18,0.5336898395721926
lr,nofs,18,0.44385026737967914
nb,em,1,0.45525846702317285
rf,em,1,0.36613190730837786
knn,em,1,0.4668449197860963
lr,em,1,0.37272727272727274
nb,em,2,0.37290552584670233
rf,em,2,0.41354723707664887
knn,em,2,0.4670231729055259
lr,em,2,0.37272727272727274
nb,em,3,0.37272727272727274
rf,em,3,0.4196078431372549
knn,em,3,0.4433155080213904
lr,em,3,0.37272727272727274
nb,em,4,0.34331550802139044
rf,em,4,0.413903743315508
knn,em,4,0.44367201426024955
lr,em,4,0.3786096256684492
nb,em,5,0.3491978609625669
rf,em,5,0.41996434937611404
knn,em,5,0.4497326203208556
lr,em,5,0.3786096256684492
nb,em,6,0.36702317290552583
rf,em,6,0.4260249554367202
knn,em,6,0.43262032085561497
lr,em,6,0.3905525846702317
nb,em,7,0.3787878787878788
rf,em,7,0.45579322638146175
knn,em,7,0.509090909090909
lr,em,7,0.39643493761140813
nb,em,8,0.35508021390374334
rf,em,8,0.509090909090909
knn,em,8,0.5089126559714795
lr,em,8,0.39643493761140813
nb,em,9,0.3848484848484849
rf,em,9,0.5327985739750446
knn,em,9,0.4857397504456328
lr,em,9,0.39643493761140813
nb,em,10,0.3848484848484849
rf,em,10,0.5092691622103387
knn,em,10,0.4857397504456328
lr,em,10,0.39643493761140813
nb,em,11,0.3609625668449198
rf,em,11,0.5329768270944741
knn,em,11,0.4918003565062389
lr,em,11,0.40819964349376114
nb,em,12,0.37308377896613193
rf,em,12,0.5210338680926916
knn,em,12,0.503921568627451
lr,em,12,0.41996434937611404
nb,em,13,0.3672014260249554
rf,em,13,0.5212121212121212
knn,em,13,0.4980392156862745
lr,em,13,0.4258467023172906
nb,em,14,0.3787878787878788
rf,em,14,0.5627450980392157
knn,em,14,0.5691622103386809
lr,em,14,0.44349376114081995
nb,em,15,0.3787878787878788
rf,em,15,0.5923351158645277
knn,em,15,0.5219251336898395
lr,em,15,0.44367201426024955
nb,em,16,0.36702317290552583
rf,em,16,0.597860962566845
knn,em,16,0.5454545454545455
lr,em,16,0.44367201426024955
nb,em,17,0.3429590017825312
rf,em,17,0.6276292335115865
knn,em,17,0.5336898395721926
lr,em,17,0.44385026737967914
