model,fs_method,k,accuracy
nb,nofs,102,0.42032085561497323
rf,nofs,102,0.6807486631016044
knn,nofs,102,0.6033868092691622
lr,nofs,102,0.6566844919786097
nb,em,1,0.39625668449197865
rf,em,1,0.3315508021390374
knn,em,1,0.39625668449197865
lr,em,1,0.4377896613190731
nb,em,2,0.35472370766488415
rf,em,2,0.4616755793226381
knn,em,2,0.47290552584670237
lr,em,2,0.44367201426024955
nb,em,3,0.3370766488413547
rf,em,3,0.4732620320855615
knn,em,3,0.4909090909090909
lr,em,3,0.44367201426024955
nb,em,4,0.34331550802139044
rf,em,4,0.5272727272727272
knn,em,4,0.5383244206773619
lr,em,4,0.449554367201426
nb,em,5,0.3493761140819965
rf,em,5,0.5445632798573975
knn,em,5,0.4732620320855615
lr,em,5,0.44367201426024955
nb,em,6,0.33725490196078434
rf,em,6,0.544741532976827
knn,em,6,0.4732620320855615
lr,em,6,0.44367201426024955
nb,em,7,0.3137254901960784
rf,em,7,0.562210338680927
knn,em,7,0.4732620320855615
lr,em,7,0.44367201426024955
nb,em,8,0.33725490196078434
rf,em,8,0.5741532976827094
knn,em,8,0.4383244206773618
lr,em,8,0.44367201426024955
nb,em,9,0.33137254901960783
rf,em,9,0.568270944741533
knn,em,9,0.4385026737967914
lr,em,9,0.44367201426024955
nb,em,10,0.33725490196078434
rf,em,10,0.5506238859180035
knn,em,10,0.4500891265597148
lr,em,10,0.4377896613190731
nb,em,11,0.3370766488413547
rf,em,11,0.5855614973262032
knn,em,11,0.5153297682709448
lr,em,11,0.45561497326203204
nb,em,12,0.35508021390374334
rf,em,12,0.5737967914438502
knn,em,12,0.509090909090909
lr,em,12,0.45561497326203204
nb,em,13,0.331729055258467
rf,em,13,0.5736185383244207
knn,em,13,0.509090909090909
lr,em,13,0.45561497326203204
nb,em,14,0.3319073083778966
rf,em,14,0.5853832442067736
knn,em,14,0.4975044563279857
lr,em,14,0.45561497326203204
nb,em,15,0.3319073083778966
rf,em,15,0.5679144385026739
knn,em,15,0.4973262032085561
lr,em,15,0.45561497326203204
nb,em,16,0.32602495543672017
rf,em,16,0.5557932263814617
knn,em,16,0.4857397504456328
lr,em,16,0.45561497326203204
nb,em,17,0.33778966131907306
rf,em,17,0.5793226381461676
knn,em,17,0.4734402852049911
lr,em,17,0.44385026737967914
nb,em,18,0.3319073083778966
rf,em,18,0.5798573975044563
knn,em,18,0.47932263814616755
lr,em,18,0.44385026737967914
nb,em,19,0.373083778966132
rf,em,19,0.6213903743315508
knn,em,19,0.48502673796791446
lr,em,19,0.4497326203208556
nb,em,20,0.3910873440285205
rf,em,20,0.6390374331550801
knn,em,20,0.520855614973262
lr,em,20,0.4497326203208556
nb,em,21,0.3554367201426025
rf,em,21,0.6212121212121212
knn,em,21,0.5149732620320855
lr,em,21,0.4497326203208556
nb,em,22,0.3497326203208556
rf,em,22,0.6213903743315508
knn,em,22,0.5149732620320855
lr,em,22,0.4497326203208556
nb,em,23,0.3495543672014261
rf,em,23,0.6331550802139037
knn,em,23,0.5500891265597148
lr,em,23,0.46755793226381465
nb,em,24,0.3315508021390374
rf,em,24,0.6329768270944741
knn,em,24,0.5500891265597148
lr,em,24,0.46755793226381465
nb,em,25,0.3197860962566845
rf,em,25,0.6272727272727272
knn,em,25,0.5147950089126561
lr,em,25,0.46755793226381465
nb,em,26,0.33761140819964347
rf,em,26,0.6270944741532977
knn,em,26,0.526559714795009
lr,em,26,0.48520499108734405
nb,em,27,0.3611408199643494
rf,em,27,0.6155080213903743
knn,em,27,0.5085561497326203
lr,em,27,0.5087344028520498
nb,em,28,0.34349376114082003
rf,em,28,0.6390374331550802
knn,em,28,0.5085561497326203
lr,em,28,0.5087344028520498
nb,em,29,0.31960784313725493
rf,em,29,0.597860962566845
knn,em,29,0.5085561497326203
lr,em,29,0.5087344028520498
nb,em,30,0.31960784313725493
rf,em,30,0.6272727272727272
knn,em,30,0.5146167557932264
lr,em,30,0.5087344028520498
nb,em,31,0.3315508021390374
rf,em,31,0.6153297682709448
knn,em,31,0.514795008912656
lr,em,31,0.526559714795009
nb,em,32,0.3254901960784314
rf,em,32,0.6447415329768271
knn,em,32,0.5445632798573975
lr,em,32,0.5204991087344029
nb,em,33,0.3315508021390374
rf,em,33,0.6094474153297683
knn,em,33,0.5445632798573975
lr,em,33,0.5204991087344029
nb,em,34,0.3315508021390374
rf,em,34,0.6269162210338681
knn,em,34,0.55650623885918
lr,em,34,0.5559714795008912
nb,em,35,0.3254901960784314
rf,em,35,0.6390374331550802
knn,em,35,0.580035650623886
lr,em,35,0.5559714795008912
nb,em,36,0.3196078431372549
rf,em,36,0.6096256684491979
knn,em,36,0.5445632798573975
lr,em,36,0.5559714795008912
nb,em,37,0.3196078431372549
rf,em,37,0.6331550802139037
knn,em,37,0.5684491978609626
lr,em,37,0.5559714795008912
nb,em,38,0.3493761140819965
rf,em,38,0.6153297682709448
knn,em,38,0.6040998217468806
lr,em,38,0.5500891265597148
nb,em,39,0.3493761140819965
rf,em,39,0.6509803921568628
knn,em,39,0.6040998217468806
lr,em,39,0.5442067736185383
nb,em,40,0.34331550802139044
rf,em,40,0.6212121212121212
knn,em,40,0.6040998217468806
lr,em,40,0.5500891265597148
nb,em,41,0.3493761140819965
rf,em,41,0.6094474153297683
