model,fs_method,k,accuracy,fmeasure,precision,recall,roc
lr,nofs,13,0.8407407407407408,0.8402076972838204,0.841463213355618,0.8407407407407408,0.9111111111111112
nb,nofs,13,0.8407407407407408,0.8403719142362828,0.8408530135388481,0.8407407407407408,0.9
knn,nofs,13,0.8148148148148149,0.8141199869686421,0.8157806373543666,0.8148148148148149,0.8640277777777777
rf,nofs,13,0.8296296296296296,0.8289688799016967,0.8305027922314038,0.8296296296296296,0.8973611111111112
dt,nofs,13,0.7481481481481482,0.7479361698399298,0.7492950906054354,0.7481481481481482,0.7458333333333333
gb,nofs,13,0.7888888888888889,0.7872642554479066,0.7899879951376592,0.7888888888888889,0.8625
ab,nofs,13,0.8444444444444444,0.8437310456270268,0.8462548811199024,0.8444444444444444,0.8938888888888888
svc,nofs,13,0.8481481481481483,0.8476154545957046,0.8493961978621867,0.8481481481481483,0.9049999999999999
ri,nofs,13,0.8296296296296296,0.8289918399335674,0.8302426730881173,0.8296296296296296,0.9069444444444444
xgb,nofs,13,0.7962962962962963,0.7961534561349468,0.797474705896753,0.7962962962962963,0.8744444444444446
lr,corr,1,0.762962962962963,0.762165201105221,0.7654604074211917,0.762962962962963,0.7661111111111112
nb,corr,1,0.762962962962963,0.762165201105221,0.7654604074211917,0.762962962962963,0.7661111111111112
knn,corr,1,0.5703703703703704,0.5168936310379855,0.5833869089215,0.5703703703703704,0.6490277777777778
rf,corr,1,0.7518518518518519,0.750572574257643,0.752841159385277,0.7518518518518519,0.7661111111111112
dt,corr,1,0.7518518518518519,0.750572574257643,0.752841159385277,0.7518518518518519,0.7661111111111112
gb,corr,1,0.7518518518518519,0.750572574257643,0.752841159385277,0.7518518518518519,0.7661111111111112
ab,corr,1,0.7518518518518519,0.750572574257643,0.752841159385277,0.7518518518518519,0.7661111111111112
svc,corr,1,0.762962962962963,0.762165201105221,0.7654604074211917,0.762962962962963,0.7661111111111112
ri,corr,1,0.762962962962963,0.762165201105221,0.7654604074211917,0.762962962962963,0.7661111111111112
xgb,corr,1,0.7518518518518519,0.750572574257643,0.752841159385277,0.7518518518518519,0.7661111111111112
lr,tree,1,0.762962962962963,0.762165201105221,0.7654604074211917,0.762962962962963,0.7661111111111112
nb,tree,1,0.762962962962963,0.762165201105221,0.7654604074211917,0.762962962962963,0.7661111111111112
knn,tree,1,0.5703703703703704,0.5168936310379855,0.5833869089215,0.5703703703703704,0.6490277777777778
rf,tree,1,0.7518518518518519,0.750572574257643,0.752841159385277,0.7518518518518519,0.7661111111111112
dt,tree,1,0.7518518518518519,0.750572574257643,0.752841159385277,0.7518518518518519,0.7661111111111112
gb,tree,1,0.7518518518518519,0.750572574257643,0.752841159385277,0.7518518518518519,0.7661111111111112
ab,tree,1,0.7518518518518519,0.750572574257643,0.752841159385277,0.7518518518518519,0.7661111111111112
svc,tree,1,0.762962962962963,0.762165201105221,0.7654604074211917,0.762962962962963,0.7661111111111112
ri,tree,1,0.762962962962963,0.762165201105221,0.7654604074211917,0.762962962962963,0.7661111111111112
xgb,tree,1,0.7518518518518519,0.750572574257643,0.752841159385277,0.7518518518518519,0.7661111111111112
lr,var,1,0.5888888888888889,0.5889625133611857,0.5970879290994233,0.5888888888888889,0.5920833333333333
nb,var,1,0.5888888888888889,0.5889625133611857,0.5970879290994233,0.5888888888888889,0.5920833333333333
knn,var,1,0.5185185185185185,0.45000089884278294,0.4267584271837145,0.5185185185185185,0.54
rf,var,1,0.5851851851851853,0.5853414459979458,0.5938051199545452,0.5851851851851853,0.5829166666666667
dt,var,1,0.5851851851851853,0.5853414459979458,0.5938051199545452,0.5851851851851853,0.5829166666666667
gb,var,1,0.5851851851851853,0.5853414459979458,0.5938051199545452,0.5851851851851853,0.5829166666666667
ab,var,1,0.5851851851851853,0.5853414459979458,0.5938051199545452,0.5851851851851853,0.5829166666666667
svc,var,1,0.5888888888888889,0.5891924779361449,0.5978817483070357,0.5888888888888889,0.5362499999999999
ri,var,1,0.5888888888888889,0.5889625133611857,0.5970879290994233,0.5888888888888889,0.5920833333333333
xgb,var,1,0.5851851851851853,0.5853414459979458,0.5938051199545452,0.5851851851851853,0.5829166666666667
lr,lrs,1,0.7407407407407407,0.7389030207726417,0.7416088989995087,0.7407407407407407,0.7495833333333334
nb,lrs,1,0.6777777777777778,0.6451860481022964,0.7162685455957202,0.6777777777777778,0.7495833333333334
knn,lrs,1,0.7222222222222221,0.7099333759617976,0.7381758913028262,0.7222222222222221,0.7313888888888889
rf,lrs,1,0.7407407407407407,0.7389030207726417,0.7416088989995087,0.7407407407407407,0.7495833333333334
dt,lrs,1,0.7407407407407407,0.7389030207726417,0.7416088989995087,0.7407407407407407,0.7495833333333334
