model,fs_method,k,accuracy,fmeasure,precision,recall,roc
lr,nofs,6,0.7064516129032258,0.6706280983733375,0.759591917566113,0.7064516129032258,0.8038095238095238
nb,nofs,6,0.7870967741935484,0.7747527365898785,0.84309476117317,0.7870967741935484,0.8652380952380951
knn,nofs,6,0.7548387096774194,0.7541433668237456,0.7811312949205057,0.7548387096774194,0.8233333333333335
rf,nofs,6,0.8129032258064516,0.8084845508259958,0.8472108223795223,0.8129032258064516,0.9078571428571427
dt,nofs,6,0.7516129032258065,0.7515772397043986,0.7815126372505041,0.7516129032258065,0.7302380952380952
gb,nofs,6,0.8,0.7976555705114541,0.8407194238751075,0.8,0.8952380952380953
ab,nofs,6,0.7967741935483871,0.794860459042604,0.8386236442518207,0.7967741935483871,0.8998809523809523
svc,nofs,6,0.7064516129032258,0.6689179786902552,0.7627882765928804,0.7064516129032258,0.8207142857142857
ri,nofs,6,0.7612903225806452,0.7547146307341382,0.7925527964937963,0.7612903225806452,0.8435714285714286
xgb,nofs,6,0.8,0.7988181342471325,0.8297274256100213,0.8,0.9007142857142858
lr,emm,1,0.6774193548387096,0.5471464019851118,0.4588969823100936,0.6774193548387096,0.8596428571428572
nb,emm,1,0.7774193548387097,0.7571584557184676,0.8523948787861254,0.7774193548387097,0.8639285714285714
knn,emm,1,0.7483870967741936,0.729062317244398,0.8205453149001537,0.7483870967741936,0.8436904761904762
rf,emm,1,0.6838709677419355,0.6717131971997564,0.7106992549870809,0.6838709677419355,0.8178571428571428
dt,emm,1,0.6806451612903226,0.6675287262364425,0.7080181599909954,0.6806451612903226,0.6251190476190476
gb,emm,1,0.6870967741935484,0.6770793035237445,0.7176753474121895,0.6870967741935484,0.8128571428571428
ab,emm,1,0.7548387096774194,0.7305079288944109,0.8124875568313605,0.7548387096774194,0.8497619047619047
svc,emm,1,0.6774193548387096,0.5471464019851118,0.4588969823100936,0.6774193548387096,0.8596428571428572
ri,emm,1,0.7806451612903226,0.7541778431387801,0.830077914215396,0.7806451612903226,0.8596428571428572
xgb,emm,1,0.6903225806451612,0.678123003625472,0.7231841616190547,0.6903225806451612,0.8301190476190475
lr,emm,2,0.6903225806451614,0.593447910723053,0.6297771717679141,0.6903225806451614,0.7845238095238095
nb,emm,2,0.7838709677419355,0.7658089991383943,0.8622863516411904,0.7838709677419355,0.8907142857142857
knn,emm,2,0.7548387096774194,0.743732568885141,0.8009942745426617,0.7548387096774194,0.8266666666666665
rf,emm,2,0.7387096774193549,0.7282868122147035,0.7864774713961399,0.7387096774193549,0.8371428571428572
dt,emm,2,0.6903225806451614,0.6791907277163277,0.7284364738287682,0.6903225806451614,0.6483333333333332
gb,emm,2,0.7516129032258064,0.7461571100430955,0.785491684173682,0.7516129032258064,0.8439285714285715
ab,emm,2,0.767741935483871,0.7524069318625963,0.8356471547012756,0.767741935483871,0.8601190476190477
svc,emm,2,0.6774193548387096,0.5471464019851118,0.4588969823100936,0.6774193548387096,0.8461904761904762
ri,emm,2,0.735483870967742,0.7252007515121119,0.7433712336051046,0.735483870967742,0.8164285714285715
xgb,emm,2,0.7161290322580646,0.710446257478756,0.7564782805736135,0.7161290322580646,0.8203571428571429
lr,emm,3,0.7451612903225806,0.6937750638369413,0.7842518990031291,0.7451612903225806,0.8542857142857144
nb,emm,3,0.7967741935483871,0.7888220728406583,0.8498944993442148,0.7967741935483871,0.9083333333333334
knn,emm,3,0.7354838709677419,0.7332156497268059,0.7785319068976564,0.7354838709677419,0.8522619047619047
rf,emm,3,0.7645161290322581,0.757461254914204,0.8110363334746638,0.7645161290322581,0.8915476190476191
dt,emm,3,0.7516129032258064,0.7452074699007188,0.7846641723349564,0.7516129032258064,0.7249999999999999
gb,emm,3,0.7774193548387097,0.7698075656517661,0.8225640184966974,0.7774193548387097,0.8835714285714286
ab,emm,3,0.767741935483871,0.7629956358115153,0.81540946329656,0.767741935483871,0.8807142857142857
svc,emm,3,0.7580645161290323,0.7197393979650357,0.7867360337521027,0.7580645161290323,0.8619047619047618
ri,emm,3,0.7903225806451614,0.7868031904950824,0.8019493520125967,0.7903225806451614,0.8773809523809524
xgb,emm,3,0.7741935483870968,0.7686351754956441,0.8217926938263543,0.7741935483870968,0.8713095238095239
lr,emm,4,0.7064516129032258,0.6641954578034328,0.7570521968832852,0.7064516129032258,0.8219047619047618
nb,emm,4,0.7967741935483871,0.7868893704681199,0.8502739554352458,0.7967741935483871,0.8823809523809525
knn,emm,4,0.7645161290322581,0.7655155545307417,0.7902392442591684,0.7645161290322581,0.8452380952380952
rf,emm,4,0.7870967741935484,0.7795991670039203,0.8393387336557527,0.7870967741935484,0.9070238095238095
dt,emm,4,0.7612903225806452,0.7595958061047675,0.7867674041993888,0.7612903225806452,0.7347619047619047
gb,emm,4,0.7903225806451614,0.7861025197210454,0.8313034124464677,0.7903225806451614,0.8954761904761904
ab,emm,4,0.7774193548387097,0.7729978857542246,0.8159648386795487,0.7774193548387097,0.888452380952381
svc,emm,4,0.7129032258064516,0.6789796912143087,0.7610239088112885,0.7129032258064516,0.8300000000000001
ri,emm,4,0.7612903225806452,0.7553027278606729,0.7920774085707672,0.7612903225806452,0.8419047619047619
xgb,emm,4,0.8193548387096774,0.8170675342585476,0.8576776514634176,0.8193548387096774,0.905
lr,emm,5,0.7096774193548387,0.674045429561717,0.7593746194085564,0.7096774193548387,0.8066666666666669
nb,emm,5,0.7774193548387097,0.7654789364874436,0.8281012317823571,0.7774193548387097,0.8697619047619047
knn,emm,5,0.7548387096774194,0.7543909146029293,0.7823392915328399,0.7548387096774194,0.8120238095238095
rf,emm,5,0.7903225806451613,0.7847988263463034,0.8293440087559176,0.7903225806451613,0.9063095238095238
dt,emm,5,0.7483870967741936,0.7439115515851868,0.7799641079944638,0.7483870967741936,0.733095238095238
gb,emm,5,0.7903225806451613,0.7870895421207047,0.8253205817338737,0.7903225806451613,0.8947619047619048
ab,emm,5,0.7838709677419355,0.7827888268093031,0.8232354867681702,0.7838709677419355,0.8911904761904761
svc,emm,5,0.7064516129032258,0.6689179786902552,0.7627882765928804,0.7064516129032258,0.8226190476190475
ri,emm,5,0.7612903225806452,0.753696363720975,0.7932699667365832,0.7612903225806452,0.843095238095238
xgb,emm,5,0.8129032258064516,0.812293173457965,0.8482533339268536,0.8129032258064516,0.9076190476190475
