dataset,model,fs_method,k,accuracy,fmeasure,precision,recall,roc
vcd,lr,tree,4,0.8258064516129032,0.825633597161486,0.8553988755086903,0.8258064516129032,0.9145238095238096
parkinsons,knn,lrs,3,0.8974358974358975,0.8881105227617603,0.9214611904270348,0.8974358974358975,0.9621072796934864
cirrhosis,rf,em,17,0.5191336775674126,0.4908157761344987,0.5169439662622581,0.5191336775674126,0.7065722359944295
diabetes,rf,emm,7,0.7865546218487396,0.7806410758949343,0.7850661647344648,0.7865546218487396,0.8259818308874912
heart_disease,knn,lrs,11,0.8251412429378533,0.8200483930082878,0.8424936044392572,0.8251412429378533,0.8634300595238095
sonar,lr,lrs,10,0.7831591173054588,0.7792948372484257,0.7947081053397591,0.7831591173054588,0.8411348034116912
stroke,lr,em,6,0.9576291701181926,0.9370967146704888,0.9252095475895524,0.9576291701181926,0.8470627919045148
shd,rf,muin,3,0.8555555555555555,0.8548859748581734,0.857037260951054,0.8555555555555555,0.8555555555555555
chd,rf,em,3,0.8319209039548022,0.827342891301344,0.838250318379132,0.8319209039548022,0.8600818452380953
abalone,rf,tree,7,0.8182892588029682,0.8065021786368687,0.8005917526598164,0.8182892588029682,0.8776880264411879
wine,ab,lrs,2,0.8844774256566096,0.8666285850204949,0.8699429570952587,0.8844774256566096,0.8582429237748386
breast,lr,rfc,19,0.9841950007762772,0.984127503315328,0.9845509389800629,0.9841950007762772,0.9953196569598468
