dataset,model,k,accuracy,fmeasure,precision,recall,roc
LRS
vcd,lr,4,0.8193548387096774,0.819157731956744,0.8474475307092554,0.8193548387096774,0.9154761904761906
parkinsons,knn,3,0.8974358974358975,0.8881105227617603,0.9214611904270348,0.8974358974358975,0.9621072796934864
cirrhosis,rf,14,0.4976477337923121,0.4656190836077519,0.4728561830275065,0.4976477337923121,0.6956285881874087
diabetes,lr,7,0.7747899159663865,0.7677731163739274,0.7707216177985277,0.7747899159663865,0.8324675052410901
heart_disease,knn,11,0.8251412429378533,0.8200483930082878,0.8424936044392572,0.8251412429378533,0.8634300595238095
sonar,lr,10,0.7831591173054588,0.7792948372484257,0.7947081053397591,0.7831591173054588,0.8411348034116912
stroke,lr,6,0.9574255041304128,0.936994877318823,0.925201200882778,0.9574255041304128,0.8475989077519955
shd,lr,6,0.8481481481481483,0.8476096431520906,0.8486485353771469,0.8481481481481483,0.895277777777778
chd,knn,11,0.8184745762711862,0.813491145369872,0.8338473103574013,0.8184745762711862,0.8795882936507937
abalone,rf,7,0.8170936595708106,0.8053492232916175,0.7989240763769969,0.8170936595708106,0.8761809996176637
wine,ab,2,0.8844774256566096,0.8666285850204949,0.8699429570952587,0.8844774256566096,0.8582429237748386
breast,lr,27,0.9824406148113648,0.9823658423058704,0.982818074536672,0.9824406148113648,0.995646553741051


TREE
vcd,lr,4,0.8258064516129032,0.825633597161486,0.8553988755086903,0.8258064516129032,0.9145238095238096
parkinsons,knn,4,0.8615384615384617,0.858460139744639,0.8703537312360842,0.8615384615384617,0.8745210727969349
cirrhosis,rf,16,0.5096672403901319,0.4777789674660577,0.4892418608728762,0.5096672403901319,0.6983793035976601
diabetes,rf,6,0.7773788303200068,0.7706751854812068,0.7746213039407405,0.7773788303200068,0.8260698812019566
heart_disease,lr,5,0.8085310734463278,0.7894038005437116,0.846772043324975,0.8085310734463278,0.9095403439153438
sonar,rf,17,0.7599303135888501,0.7539831097421329,0.7876381473600634,0.7599303135888501,0.8350863324318702
stroke,lr,9,0.9576291701181926,0.9374811737187128,0.9296651759756086,0.9576291701181926,0.8442066375071045
shd,rf,3,0.8518518518518519,0.8508232545542189,0.8536612388250321,0.8518518518518519,0.8533333333333333
chd,lr,6,0.8151977401129944,0.7960232549721205,0.8529105366884142,0.8151977401129944,0.8990988756613756
